"","SAMPLE_ID","CLAY","SILT","SAND","SOC","CaCO3","N","P","K","CEC","GPS_PROJ","GPS_LAT","GPS_LONG","LC1","LC2","LU1","LU2","MINERAL","COUNTRY"
"1","15844",5,19,77,7.7,1,0.9,47.2,151.6,2.8,"WGS84",52.22599,16.6695,"B32","8","U111","8","mineral","POLAND"
"2","15848",3,16,81,7.9,0,0.9,35.9,74.9,2.2,"WGS84",52.15771,16.60046,"B13","8","U111","8","mineral","POLAND"
"3","15849",2,2,96,4.4,0,0.6,44.6,24.7,2.5,"WGS84",52.1203,16.62426,"C20","8","U120","8","mineral","POLAND"
"4","15850",3,13,84,19.1,2,0.8,14.5,34.3,6,"WGS84",52.21268,15.90345,"C20","8","U120","8","mineral","POLAND"
"5","15851",12,15,73,20.6,18,1.8,30.1,145.1,16.1,"WGS84",52.15596,15.95454,"B13","8","U111","8","mineral","POLAND"
"6","15852",2,2,95,9.7,1,0.5,0,20.5,3.9,"WGS84",51.95811,15.57784,"C20","8","U120","8","mineral","POLAND"
"7","15853",4,12,84,7.4,0,0.8,48.9,58.9,2.3,"WGS84",51.67818,15.77546,"B14","8","U111","8","mineral","POLAND"
"8","15854",10,22,68,12.8,0,1.4,14.9,104.9,6.5,"WGS84",51.66874,15.60006,"B13","8","U111","8","mineral","POLAND"
"9","15855",23,26,51,18.3,2,1.8,44.8,466.2,15.2,"WGS84",52.0077,15.67169,"B11","8","U111","8","mineral","POLAND"
"10","15856",5,11,84,9.6,0,0.8,69.1,70,4.4,"WGS84",52.08344,15.59355,"E20","8","U111","8","mineral","POLAND"
"11","15857",2,4,93,17.3,1,0.8,11.5,31,3.6,"WGS84",52.12739,15.80414,"C20","8","U120","8","mineral","POLAND"
"12","15858",2,6,92,21.8,0,0.8,31.3,20.3,0,"WGS84",52.18279,16.13425,"C20","8","U120","8","mineral","POLAND"
"13","15859",3,17,80,10.1,1,1,74.3,79.2,3,"WGS84",52.19613,16.22433,"E20","8","U111","8","mineral","POLAND"
"14","15861",2,5,92,9,0,0.4,35.3,40.1,0,"WGS84",52.14297,15.07344,"C20","8","U120","8","mineral","POLAND"
"15","15862",3,8,88,3.1,1,0.3,31.3,30.7,2.2,"WGS84",51.56935,15.41427,"E10","8","U120","8","mineral","POLAND"
"16","15863",3,5,92,10.4,0,1.1,0,19.4,5.3,"WGS84",52.07945,16.38374,"E20","8","U111","8","mineral","POLAND"
"17","15864",32,42,26,34.4,1,2.5,12.9,75.7,23.7,"WGS84",51.72909,15.84004,"E20","8","U111","8","mineral","POLAND"
"18","15865",4,12,85,8.9,0,0.9,59.8,71.7,2.8,"WGS84",51.95193,16.42492,"B54","8","U111","8","mineral","POLAND"
"19","15866",4,8,87,6.6,1,0.7,45.8,46.3,0,"WGS84",51.86937,16.26641,"E20","8","U112","8","mineral","POLAND"
